Interprete;Sesso
Stefano Rosso;M
Leroy Gomez;M
Paolo Riviera;M
Decibel;G
Francesco Magni;M
Aldo Donati;M
Giorgio Zito e i Diesel;G
Linda Lee;F
Bruno D'Andrea;M
Orlando Johnson;M
Alberto Cheli;M
Peppino di Capri;M
Omelet;G
Rimmel;G
Henry Freis;M
Mela Lo Cicero;F
Gianfranco De Angelis;M
Alberto Beltrami;M
Latte e Miele;G
Luca Cola;M
Coscarella e Polimeno;G
Alice;F
Loretta Goggi;F
Dario Baldan Bembo;M
Luca Barbarossa;M
Paolo Barabani;M
Michele Zarrillo;M
Marcella;F
Passengers;G
Eduardo De Crescenzo;M
Sterling Saint-Jacques;M
Fiorella Mannoia;F
Carmen & Thompson;G
Stefano Tosi;M
Gianni Bella;M
Sebastiano Occhino;M
Jò Chiarello;F
Tom Hooker;M
Domenico Mattia;M
Franco Fasano;M
Al Bano e Romina Power;G
Giuseppe Cionfoli;M
Christian;M
Jimmy Fontana;M
Lene Lovich;F
Elisabetta Viviani;F
Mia Martini;F
Stefano Sani;M
Le Orme;G
Riccardo Del Turco;M
Plastic Bertrand;M
Milk & Coffee;G
Viola Valentino;F
Mal;G
Mario Castelnuovo;M
Roberto Soffici;M
Zucchero Fornaciari;M
Vasco Rossi;M
Rino Martinez;M
Marina Lai;F
Julie;F
Claudio Villa;M
Piero Cassano;M
Fiordaliso;F
Tiziana Rivale;F
Donatella Milani;F
Dori Ghezzi;F
Amii Stewart;F
Marco Armani;M
Giorgia Fiorio;F
Flavia Fortunato;F
Bertín Osborne;M
Riccardo Azzurri;M
Richard Sanderson;M
Zucchero;M
Barbara Boncompagni;F
Daniela Goggi;F
Pinot;M
Brunella Borciani;F
Patrizia Danzi;F
Nino Buonocore;M
Sibilla;F
Alessio Colombini;M
Manuele Pepe;M
Amedeo Minghi;M
Patty Pravo;F
Gruppo Italiano;G
Marisa Sannia;F
Alberto Camerini;M
Garbo;F
Enrico Ruggeri;M
Stadio;G
Luis Miguel;M
Eros Ramazzotti;M
Banco del Mutuo Soccorso;G
Ivan Graziani;M
Eugenio Finardi;M
Mimmo Locasciulli;M
New Trolls;G
Zucchero Fornaciari & Randy Jackson Band;G
Renzo Arbore;M
Nino D'Angelo;M
Fred Bongusto;M
Loredana Bertè;F
Rettore;F
Mango;M
Righeira;G
Scialpi;M
Rossana Casale;F
Gianni Morandi, Enrico Ruggeri e Umberto Tozzi;G
Lena Biolcati;F
Tony Esposito;M
Sergio Caputo;M
Massimo Ranieri;M
Fiordaliso con Claudio Cabrini;G
Raf;M
Francesco Nuti;M
Franco Califano;M
Figli di Bubba;G
Tullio De Piscopo;M
Ron;M
Denovo;G
Alan Sorrenti;M
Anna Oxa e Fausto Leali;G
Jovanotti;M
Francesco Salvi;M
Ornella Vanoni;F
Marisa Laurito;F
Gino Paoli;M
Renato Carosone;M
Enzo Jannacci;M
Gigi Sabani;M
Pooh;G
Amedeo Minghi e Mietta;G
Marcella e Gianni Bella;G
Caterina Caselli;F
Paola Turci;F
Grazia Di Michele;F
Eugenio Bennato e Tony Esposito;G
Riccardo Cocciante;M
Renato Zero;M
Marco Masini;M
Umberto Tozzi;M
Pierangelo Bertoli e Tazenda;G
Mietta;F
Jo Squillo e Sabrina Salerno;G
Ladri di Biciclette;G
Mariella Nava;F
Paolo Vallesi;M
Pierangelo Bertoli;M
Franco Fasano e Flavia Fortunato;G
Tazenda;G
Peppino di Capri e Pietra Montecorvino;G
Lina Sastri;F
Paolo Mengoli;M
Enzo Ghinazzi;M
Nuova Compagnia di Canto Popolare;G
Giorgio Faletti e Orietta Berti;G
Formula 3;G
Cristiano De Andrè;M
Rossana Casale e Grazia Di Michele;G
Mietta e Ragazzi di Via Meda;G
Biagio Antonacci;M
Francesca Alotta;F
Andrea Mingardi;M
Roberto Murolo;M
Loredana Bertè e Mia Martini;G
Jo Squillo;F
Ladri di Biciclette e Tony Esposito;G
Maurizio Vandelli, Dik Dik e Camaleonti;G
Alessandro Canino;M
Aleandro Baldi;M
Giorgio Faletti;M
Laura Pausini;F
Gerardina Trovato;F
Enzo Jannacci e Paolo Rossi;G
Alessandro Bono;M
Claudia Mori;F
Carlo Marrale;M
Squadra Italia;G
Giorgia;F
Gianni Morandi e Barbara Cola;G
Ivana Spagna;F
Andrea Bocelli;M
Fiorello;M
Danilo Amerio;M
Lighea;F
883;G
Antonella Arancio;F
Lorella Cuccarini;F
Trio Melody;G
Sabina Guzzanti e La Riserva Indiana;G
Francesca Schiavo;F
Valeria Visconti;F
Giò Di Tonno;M
Ron (con Tosca non accreditata);G
Elio e le Storie Tese;G
Neri per Caso;G
Massimo Di Cataldo;M
Aleandro Baldi e Marco Guerzoni;G
Federico Salvatore;M
Rossella Marcone;F
Raffaella Cavalli;F
Gigi Finizio;M
Umberto Bindi e New Trolls;G
Dhamm;G
Mara;F
Fedele Boccassini;M
Jalisse;G
Syria;F
Silvia Salemi;F
O.R.O.;G
Nek;M
Tosca;F
Francesco Baccini;M
Dirotta su Cuba;G
Marina Rei;F
Cattivi Pensieri;G
Pitura Freska;G
Ragazzi Italiani;G
New Trolls e Greta;G
Alessandro Mara;M
Camilla;F
Carmen Consoli;F
Alessandro Errico;M
Leandro Barsotti;M
Maurizio Lauzi;M
Olivia;F
Adriana Ruocco;F
Petra Magoni;F
Annalisa Minetti;F
Antonella Ruggiero;F
Lisa;F
Mango e Zenîma;G
Luca Sepe;M
Niccolò Fabi;M
Alex Baroni;M
Spagna;F
Piccola Orchestra Avion Travel;G
Paola & Chiara;G
Enzo Gragnaniello con Ornella Vanoni;G
Daniele Silvestri;M
Gatto Panceri;M
Gianluca Grignani;M
Irene Grandi;F
Max Gazzè;M
Samuele Bersani;M
Gigi D'Alessio;M
Subsonica;G
Mariella Nava e Amedeo Minghi;G
Elisa;F
Jenny B;F
Alex Britti;M
Fabio Concato;M
Sottotono;G
Quintorigo;G
Bluvertigo;G
Alexia;F
Fausto Leali e Luisa Corna;G
Filippa Giordano;F
Francesco Renga;M
Gazosa;F
Alessandro Safina;M
Lollipop;F
Timoria;G
Sergio Cammariere;M
Enrico Ruggeri e Andrea Mirò;G
Giuni Russo;F
Cristiano De André;M
Eiffel 65;G
Bobby Solo e Little Tony;G
Anna Tatangelo e Federico Stragà;G
Negrita;G
Mario Rosini;M
Linda;F
